,gear_type
1514,אוטומטי
1515,אוטומטי
1516,אוטומטי
1517,אוטומטי
1518,ידני
1519,אוטומטי
1520,אוטומטי
1521,אוטומטי
1522,אוטומטי
1523,אוטומטי
1524,אוטומטי
1525,אוטומטי
1526,אוטומטי
1527,אוטומטי
1528,אוטומטי
1529,אוטומטי
1530,אוטומטי
1531,אוטומטי
1532,אוטומטי
1533,אוטומטי
1534,אוטומטי
1535,אוטומטי
1536,אוטומטי
1537,אוטומטי
1538,אוטומטי
1539,אוטומטי
1540,אוטומטי
1541,אוטומטי
1542,אוטומטי
1543,אוטומטי
1544,אוטומטי
1545,אוטומטי
1546,אוטומטי
1547,אוטומטי
1548,אוטומטי
1549,אוטומטי
1550,אוטומטי
1551,אוטומטי
1552,אוטומטי
1553,אוטומטי
1554,אוטומטי
1555,אוטומטי
1556,אוטומטי
1557,אוטומטי
1558,אוטומטי
1559,אוטומטי
1560,אוטומטי
1561,אוטומטי
1562,אוטומטי
1563,אוטומטי
1564,אוטומטי
1565,אוטומטי
1566,אוטומטי
1567,אוטומטי
1568,אוטומטי
1569,אוטומטי
1570,אוטומטי
1571,אוטומטי
1572,אוטומטי
1573,אוטומטי
1574,אוטומטי
1575,אוטומטי
1576,אוטומטי
1577,אוטומטי
1578,אוטומטי
1579,אוטומטי
1580,אוטומטי
1581,אוטומטי
1582,אוטומטי
1583,אוטומטי
1584,אוטומטי
1585,אוטומטי
1586,אוטומטי
1587,אוטומטי
1588,אוטומטי
1589,אוטומטי
1590,אוטומטי
1591,אוטומטי
1592,אוטומטי
1593,אוטומטי
1594,אוטומטי
1595,אוטומטי
1596,אוטומטי
1597,אוטומטי
1598,אוטומטי
1599,אוטומטי
1600,אוטומטי
1601,אוטומטי
1602,ידני
1603,אוטומטי
1604,אוטומטי
1605,אוטומטי
1606,ידני
1607,אוטומטי
1608,אוטומטי
1609,אוטומטי
1610,אוטומטי
1611,אוטומטי
1612,אוטומטי
1613,אוטומטי
1614,אוטומטי
1615,אוטומטי
1616,אוטומטי
1617,אוטומטי
1618,אוטומטי
1619,אוטומטי
1620,אוטומטי
1621,אוטומטי
1622,אוטומטי
1623,אוטומטי
1624,אוטומטי
1625,אוטומטי
1626,אוטומטי
1627,אוטומטי
1628,אוטומטי
1629,אוטומטי
1630,אוטומטי
1631,אוטומטי
1632,אוטומטי
1633,אוטומטי
1634,אוטומטי
1635,אוטומטי
1636,אוטומטי
1637,אוטומטי
1638,אוטומטי
1639,אוטומטי
1640,אוטומטי
1641,אוטומטי
1642,אוטומטי
1643,אוטומטי
1644,אוטומטי
1645,אוטומטי
1646,אוטומטי
1647,אוטומטי
1648,אוטומטי
1649,אוטומטי
1650,אוטומטי
1651,אוטומטי
1652,אוטומטי
1653,אוטומטי
1654,אוטומטי
1655,אוטומטי
1656,אוטומטי
1657,אוטומטי
1658,אוטומטי
1659,אוטומטי
1660,אוטומטי
1661,אוטומטי
1662,אוטומטי
1663,אוטומטי
1664,אוטומטי
1665,אוטומטי
1666,אוטומטי
1667,אוטומטי
1668,אוטומטי
1669,אוטומטי
1670,אוטומטי
1671,אוטומטי
1672,אוטומטי
1673,אוטומטי
1674,ידני
1675,אוטומטי
1676,אוטומטי
1677,אוטומטי
1678,אוטומטי
1679,אוטומטי
1680,אוטומטי
1681,אוטומטי
1682,אוטומטי
1683,אוטומטי
1684,אוטומטי
1685,אוטומטי
1686,אוטומטי
1687,אוטומטי
1688,אוטומטי
1689,אוטומטי
1690,אוטומטי
1691,אוטומטי
1692,אוטומטי
1693,אוטומטי
1694,אוטומטי
1695,אוטומטי
1696,אוטומטי
1697,אוטומטי
1698,אוטומטי
1699,אוטומטי
1700,אוטומטי
1701,אוטומטי
1702,אוטומטי
1703,אוטומטי
1704,אוטומטי
1705,אוטומטי
1706,אוטומטי
1707,אוטומטי
1708,אוטומטי
1709,אוטומטי
1710,אוטומטי
1711,אוטומטי
1712,אוטומטי
1713,אוטומטי
1714,אוטומטי
1715,אוטומטי
1716,אוטומטי
1717,אוטומטי
1718,אוטומטי
1719,אוטומטי
1720,אוטומטי
1721,אוטומטי
1722,אוטומטי
1723,אוטומטי
1724,אוטומטי
1725,אוטומטי
1726,אוטומטי
1727,אוטומטי
1728,אוטומטי
1729,ידני
1730,אוטומטי
1731,אוטומטי
1732,אוטומטי
1733,אוטומטי
1734,אוטומטי
1735,אוטומטי
1736,אוטומטי
1737,אוטומטי
1738,אוטומטי
1739,אוטומטי
1740,אוטומטי
1741,אוטומטי
1742,אוטומטי
1743,אוטומטי
1744,אוטומטי
1745,אוטומטי
1746,אוטומטי
1747,אוטומטי
1748,אוטומטי
1749,אוטומטי
1750,אוטומטי
1751,אוטומטי
1752,אוטומטי
1753,אוטומטי
1754,ידני
1755,ידני
1756,אוטומטי
1757,אוטומטי
1758,אוטומטי
1759,אוטומטי
1760,אוטומטי
1761,אוטומטי
1762,אוטומטי
1763,ידני
1764,אוטומטי
1765,אוטומטי
1766,אוטומטי
1767,אוטומטי
1768,אוטומטי
1769,אוטומטי
1770,אוטומטי
1771,אוטומטי
1772,אוטומטי
1773,אוטומטי
1774,ידני
1775,אוטומטי
1776,אוטומטי
1777,אוטומטי
1778,אוטומטי
1779,אוטומטי
1780,אוטומטי
1781,אוטומטי
1782,אוטומטי
1783,אוטומטי
1784,אוטומטי
1785,אוטומטי
1786,אוטומטי
1787,אוטומטי
1788,אוטומטי
1789,אוטומטי
1790,אוטומטי
1791,אוטומטי
1792,אוטומטי
1793,אוטומטי
1794,אוטומטי
1795,אוטומטי
1796,אוטומטי
1797,אוטומטי
1798,אוטומטי
1799,אוטומטי
1800,אוטומטי
1801,אוטומטי
1802,אוטומטי
1803,אוטומטי
1804,אוטומטי
1805,אוטומטי
1806,אוטומטי
1807,אוטומטי
1808,אוטומטי
1809,אוטומטי
1810,אוטומטי
1811,אוטומטי
1812,אוטומטי
1813,אוטומטי
1814,אוטומטי
1815,אוטומטי
1816,אוטומטי
1817,אוטומטי
1818,אוטומטי
1819,אוטומטי
1820,אוטומטי
1821,אוטומטי
1822,אוטומטי
1823,אוטומטי
1824,אוטומטי
1825,אוטומטי
1826,אוטומטי
1827,אוטומטי
1828,אוטומטי
1829,אוטומטי
1830,אוטומטי
1831,אוטומטי
1832,אוטומטי
1833,אוטומטי
1834,אוטומטי
1835,אוטומטי
1836,אוטומטי
1837,אוטומטי
1838,אוטומטי
1839,אוטומטי
1840,אוטומטי
1841,אוטומטי
1842,אוטומטי
1843,אוטומטי
1844,אוטומטי
1845,אוטומטי
1846,אוטומטי
1847,אוטומטי
1848,אוטומטי
1849,אוטומטי
1850,אוטומטי
1851,אוטומטי
1852,אוטומטי
1853,אוטומטי
1854,אוטומטי
1855,אוטומטי
1856,אוטומטי
1857,אוטומטי
1858,אוטומטי
1859,אוטומטי
1860,אוטומטי
1861,אוטומטי
1862,אוטומטי
1863,אוטומטי
1864,אוטומטי
1865,אוטומטי
1866,אוטומטי
1867,אוטומטי
1868,אוטומטי
1869,אוטומטי
1870,אוטומטי
1871,אוטומטי
1872,אוטומטי
1873,אוטומטי
1874,אוטומטי
1875,אוטומטי
1876,אוטומטי
1877,אוטומטי
1878,אוטומטי
1879,אוטומטי
1880,אוטומטי
1881,אוטומטי
1882,אוטומטי
1883,אוטומטי
1884,אוטומטי
1885,אוטומטי
1886,אוטומטי
1887,אוטומטי
1888,אוטומטי
1889,אוטומטי
1890,אוטומטי
1891,אוטומטי
1892,ידני
1893,אוטומטי
1894,אוטומטי
1895,אוטומטי
1896,אוטומטי
1897,אוטומטי
