,city
1595,קרית שמונה
1596,חיפה
1597,ראשון לציון
1598,חולון
1599,רמת השרון
1600,נתניה
1601,ראשון לציון
1602,נתניה
1603,פתח תקווה
1604,חדרה
1605,נתניה
1606,פתח תקווה
1607,רמת השרון
1608,חיפה
1609,נתניה
1610,פתח תקווה
1611,רעננה
1612,ראשון לציון
1613,עפולה
1614,קרית אתא
1615,חיפה
1616,חולון
1617,כפר חסידים א'
1618,פתח תקווה
1619,נתניה
1620,נתניה
1621,ראשון לציון
1622,מאיפה שנוח לך בארץ
1623,רעננה
1624,פתח תקווה
1625,רעננה
1626,נתניה
1627,קרית שמונה
1628,נתניה
1629,חיפה
1630,ראשון לציון
1631,פרדס חנה כרכור
1632,מאיפה שנוח לך בארץ
1633,בת ים
1634,רמת השרון
1635,תל אביב יפו
1636,כפר כנא
1637,נתניה
1638,חדרה
1639,רמת השרון
1640,נתניה
1641,נוף הגליל
1642,סח'נין
1643,תל אביב יפו
1644,קרית שמונה
1645,עפולה
1646,באר שבע
1647,נתניה
1648,נתניה
1649,באר שבע
1650,חיפה
1651,קרית שמונה
1652,חדרה
1653,נתניה
1654,רמת גן
1655,עפולה
1656,חיפה
1657,חיפה
1658,ראשון לציון
1659,אשדוד
1660,בת ים
1661,פתח תקווה
1662,רעננה
1663,ראשון לציון
1664,ראשון לציון
1665,לוד
1666,חיפה
1667,ראשון לציון
1668,נתניה
1669,עפולה
1670,ירושלים
1671,ראשון לציון
1672,רמת השרון
1673,פתח תקווה
1674,ראשון לציון
1675,שפרעם
1676,רעננה
1677,ראשון לציון
1678,נתניה
1679,חדרה
1680,אבן יהודה
1681,חדרה
1682,חיפה
1683,פרדס חנה כרכור
1684,פתח תקווה
1685,ראשון לציון
1686,ראשון לציון
1687,עפולה
1688,ראשון לציון
1689,נתניה
1690,עפולה
1691,אשדוד
1692,נתניה
1693,ראשון לציון
1694,פתח תקווה
1695,חיפה
1696,הרצליה
1697,חיפה
1698,חיפה
1699,ראשון לציון
1700,כפר כנא
1701,נתניה
1702,נתניה
1703,כפר סבא
1704,בת ים
1705,ראשון לציון
1706,חיפה
1707,חיפה
1708,חיפה
1709,ראשון לציון
1710,ראשון לציון
1711,פתח תקווה
1712,חיפה
1713,חיפה
1714,חיפה
1715,חיפה
1716,נתניה
1717,נתניה
1718,פתח תקווה
1719,ראשון לציון
1720,פתח תקווה
1721,עיספיא
1722,חולון
1723,טמרה
1724,קרית שמונה
1725,נתניה
1726,רמת השרון
1727,חיפה
1728,ירושלים
1729,שדרות
1730,נתניה
1731,קרית שמונה
1732,רמת השרון
1733,פתח תקווה
1734,נס ציונה
1735,נתניה
1736,ראשון לציון
1737,נוף הגליל
1738,ראשון לציון
1739,נתניה
1740,פתח תקווה
1741,ראשון לציון
1742,באר טוביה
1743,עפולה
1744,ראשון לציון
1745,נתניה
1746,חיפה
1747,נתניה
1748,עפולה
1749,ראשון לציון
1750,כפר סבא
1751,עיספיא
1752,ירושלים
1753,חיפה
1754,תל אביב יפו
1755,רמת השרון
1756,פתח תקווה
1757,רחובות
1758,נתניה
1759,נתניה
1760,סח'נין
1761,ראשון לציון
1762,פתח תקווה
1763,עפולה
1764,פתח תקווה
1765,חיפה
1766,חיפה
1767,ראשון לציון
1768,חיפה
1769,ראשון לציון
1770,פרדס חנה כרכור
1771,נתניה
1772,חדרה
1773,ראשון לציון
1774,נתניה
1775,ראשון לציון
1776,נתניה
1777,חיפה
1778,עפולה
1779,רמת השרון
1780,ראשון לציון
1781,חיפה
1782,נתניה
1783,חיפה
1784,נס ציונה
1785,חדרה
1786,רמת השרון
1787,עפולה
1788,מאיפה שנוח לך בארץ
1789,רחובות
1790,קרית שמונה
1791,פתח תקווה
1792,תל אביב יפו
1793,מאיפה שנוח לך בארץ
1794,לוד
1795,חיפה
1796,חיפה
1797,נתניה
1798,עראבה
1799,ירכא
1800,נתניה
1801,קרית שמונה
1802,נתניה
1803,בת ים
1804,שפרעם
1805,רמת השרון
1806,עיספיא
1807,פתח תקווה
1808,מאיפה שנוח לך בארץ
1809,חיפה
1810,בת ים
1811,פתח תקווה
1812,נתניה
1813,נתניה
1814,ראשון לציון
1815,רחובות
1816,עפולה
1817,נתניה
1818,פתח תקווה
1819,פתח תקווה
1820,רעננה
1821,חיפה
1822,אשדוד
1823,חיפה
1824,חיפה
1825,נתניה
1826,רעננה
1827,חיפה
1828,עפולה
1829,ראשון לציון
1830,קרית אתא
1831,פתח תקווה
1832,פרדס חנה כרכור
1833,ראשון לציון
1834,עפולה
1835,נתניה
1836,נתניה
1837,נתניה
1838,ראשון לציון
1839,אשדוד
1840,רחובות
1841,אשדוד
1842,ראשון לציון
1843,נתיבות
1844,נתניה
1845,ראשון לציון
1846,נתניה
1847,תל אביב יפו
1848,נתניה
1849,חיפה
1850,קרית שמונה
1851,קרית שמונה
1852,מאיפה שנוח לך בארץ
1853,חדרה
1854,ירושלים
1855,עפולה
1856,חיפה
1857,חולון
1858,נתניה
1859,חיפה
1860,עפולה
1861,לוד
1862,כרמיאל
1863,עפולה
1864,פתח תקווה
1865,חדרה
1866,טמרה
1867,חולון
1868,פרדס חנה כרכור
1869,חיפה
1870,חיפה
1871,נתיבות
1872,עפולה
1873,ראשון לציון
1874,נתניה
1875,עראבה
1876,חיפה
1877,שפרעם
1878,תל אביב יפו
1879,פתח תקווה
1880,פרדס חנה כרכור
1881,ראשון לציון
1882,חיפה
1883,ראשון לציון
1884,חדרה
1885,נוף הגליל
1886,ירכא
1887,פתח תקווה
1888,בת ים
