,engine
1002,1580 ליטר בנזין
1003,1994 ליטר בנזין
1004,2996 ליטר בנזין
1005,1368 ליטר בנזין
1006,1332 ליטר בנזין
1007,1499 ליטר דיזל
1008,1368 ליטר בנזין
1009,1197 ליטר בנזין
1010,1968 ליטר דיזל
1011,1248 ליטר בנזין
1012,2488 ליטר בנזין
1013,חשמלי
1014,999 ליטר בנזין
1015,1498 ליטר בנזין
1016,1498 ליטר בנזין
1017,1998 ליטר בנזין
1018,1984 ליטר בנזין
1019,1399 ליטר בנזין
1020,1395 ליטר בנזין
1021,1591 ליטר בנזין
1022,1498 ליטר בנזין
1023,999 ליטר בנזין
1024,1998 ליטר בנזין
1025,1591 ליטר בנזין
1026,1498 ליטר בנזין
1027,998 ליטר בנזין
1028,1498 ליטר בנזין
1029,1580 ליטר בנזין
1030,1498 ליטר בנזין
1031,1598 ליטר דיזל
1032,1999 ליטר בנזין
1033,1995 ליטר דיזל
1034,998 ליטר בנזין
1035,1969 ליטר בנזין
1036,1498 ליטר בנזין
1037,1197 ליטר בנזין
1038,1998 ליטר בנזין
1039,999 ליטר בנזין
1040,1591 ליטר בנזין
1041,1998 ליטר בנזין
1042,1998 ליטר בנזין
1043,1332 ליטר חשמל/בנזין
1044,1580 ליטר בנזין
1045,1248 ליטר בנזין
1046,1598 ליטר בנזין
1047,1591 ליטר בנזין
1048,1498 ליטר בנזין
1049,1398 ליטר בנזין
1050,1497 ליטר בנזין
1051,998 ליטר בנזין
1052,1999 ליטר בנזין
1053,2755 ליטר דיזל
1054,1598 ליטר בנזין
1055,1461 ליטר דיזל
1056,999 ליטר בנזין
1057,1199 ליטר בנזין
1058,1998 ליטר בנזין
1059,1499 ליטר דיזל
1060,1560 ליטר דיזל
1061,2987 ליטר דיזל
1062,2488 ליטר בנזין
1063,1998 ליטר בנזין
1064,1498 ליטר בנזין
1065,1580 ליטר בנזין
1066,1498 ליטר בנזין
1067,1332 ליטר בנזין
1068,1998 ליטר בנזין
1069,1248 ליטר בנזין
1070,1591 ליטר בנזין
1071,2494 ליטר בנזין
1072,1984 ליטר בנזין
1073,1999 ליטר בנזין
1074,2993 ליטר דיזל
1075,1498 ליטר בנזין
1076,1580 ליטר בנזין
1077,1591 ליטר בנזין
1078,1396 ליטר בנזין
1079,1395 ליטר בנזין
1080,1461 ליטר דיזל
1081,1591 ליטר בנזין
1082,1399 ליטר בנזין
1083,1248 ליטר בנזין
1084,1999 ליטר בנזין
1085,1199 ליטר בנזין
1086,1998 ליטר בנזין
1087,2487 ליטר בנזין
1088,1199 ליטר בנזין
1089,3828 ליטר בנזין
1090,1598 ליטר בנזין
1091,1560 ליטר דיזל
1092,1598 ליטר בנזין
1093,1461 ליטר דיזל
1094,2487 ליטר בנזין
1095,1248 ליטר בנזין
1096,1798 ליטר בנזין
1097,1499 ליטר בנזין
1098,1998 ליטר בנזין
1099,1248 ליטר בנזין
1100,1499 ליטר דיזל
1101,1799 ליטר בנזין
1102,1498 ליטר בנזין
1103,1580 ליטר בנזין
1104,2993 ליטר דיזל
1105,2999 ליטר בנזין
1106,1498 ליטר בנזין
1107,חשמלי
1108,1399 ליטר בנזין
1109,1598 ליטר בנזין
1110,1461 ליטר דיזל
1111,1999 ליטר בנזין
1112,1499 ליטר דיזל
1113,1597 ליטר בנזין
1114,1461 ליטר דיזל
1115,1998 ליטר בנזין
1116,1998 ליטר בנזין
1117,1798 ליטר בנזין
1118,1798 ליטר בנזין
1119,1329 ליטר בנזין
1120,1242 ליטר בנזין
1121,1364 ליטר בנזין
1122,999 ליטר בנזין
1123,1341 ליטר בנזין
1124,1197 ליטר בנזין
1125,1580 ליטר בנזין
1126,1399 ליטר בנזין
1127,1591 ליטר בנזין
1128,999 ליטר בנזין
1129,1399 ליטר בנזין
1130,1998 ליטר בנזין
1131,1364 ליטר בנזין
1132,1591 ליטר בנזין
1133,1998 ליטר בנזין
1134,1332 ליטר בנזין
1135,1362 ליטר בנזין
1136,1490 ליטר בנזין
1137,1598 ליטר בנזין
1138,1598 ליטר דיזל
1139,1396 ליטר בנזין
1140,1998 ליטר בנזין
1141,1496 ליטר בנזין
1142,1984 ליטר בנזין
1143,1332 ליטר בנזין
1144,1999 ליטר בנזין
1145,1499 ליטר דיזל
1146,1399 ליטר בנזין
1147,1598 ליטר בנזין
1148,1998 ליטר בנזין
1149,1197 ליטר בנזין
1150,1580 ליטר בנזין
1151,2925 ליטר דיזל
1152,1497 ליטר בנזין
1153,3497 ליטר בנזין
1154,1999 ליטר בנזין
1155,2360 ליטר חשמל/בנזין
1156,1998 ליטר בנזין
1157,1598 ליטר בנזין
1158,1395 ליטר בנזין
1159,2498 ליטר בנזין
1160,1999 ליטר בנזין
1161,1749 ליטר דיזל
1162,1461 ליטר דיזל
1163,999 ליטר בנזין
1164,1399 ליטר בנזין
1165,1798 ליטר בנזין
1166,1580 ליטר בנזין
1167,1248 ליטר בנזין
1168,1496 ליטר בנזין
1169,2967 ליטר חשמל/דיזל
1170,1197 ליטר בנזין
1171,1991 ליטר חשמל/בנזין
1172,1318 ליטר בנזין
1173,1998 ליטר בנזין
1174,1586 ליטר בנזין
1175,1499 ליטר דיזל
1176,1580 ליטר בנזין
1177,1199 ליטר בנזין
1178,998 ליטר בנזין
1179,1496 ליטר בנזין
1180,2996 ליטר חשמל/בנזין
1181,1985 ליטר בנזין
1182,1199 ליטר בנזין
1183,1332 ליטר בנזין
1184,1591 ליטר בנזין
1185,חשמלי
1186,1197 ליטר בנזין
1187,1341 ליטר בנזין
1188,1499 ליטר בנזין
1189,1396 ליטר בנזין
1190,1591 ליטר בנזין
1191,1499 ליטר דיזל
1192,2499 ליטר דיזל
1193,1373 ליטר בנזין
1194,1968 ליטר דיזל
1195,1498 ליטר בנזין
1196,998 ליטר בנזין
1197,1598 ליטר בנזין
1198,1341 ליטר בנזין
1199,1998 ליטר בנזין
1200,1598 ליטר בנזין
1201,1499 ליטר דיזל
1202,1368 ליטר בנזין
1203,1399 ליטר בנזין
1204,1580 ליטר בנזין
1205,1580 ליטר בנזין
1206,1396 ליטר בנזין
1207,1998 ליטר חשמל/בנזין
1208,1499 ליטר בנזין
1209,1997 ליטר בנזין
1210,1999 ליטר בנזין
1211,1591 ליטר בנזין
1212,1598 ליטר בנזין
1213,חשמלי
1214,1193 ליטר בנזין
1215,1498 ליטר בנזין
1216,898 ליטר בנזין
1217,1395 ליטר בנזין
1218,1798 ליטר בנזין
1219,1991 ליטר חשמל/בנזין
1220,1197 ליטר בנזין
1221,1498 ליטר בנזין
1222,1499 ליטר בנזין
1223,1600 ליטר בנזין
1224,1591 ליטר בנזין
1225,1798 ליטר בנזין
1226,1395 ליטר בנזין
1227,1999 ליטר בנזין
1228,1399 ליטר בנזין
1229,999 ליטר בנזין
1230,1586 ליטר בנזין
1231,1591 ליטר בנזין
1232,1496 ליטר בנזין
1233,1580 ליטר בנזין
1234,1998 ליטר בנזין
1235,1998 ליטר בנזין
1236,1598 ליטר בנזין
1237,1490 ליטר בנזין
1238,1399 ליטר בנזין
1239,999 ליטר בנזין
1240,1798 ליטר בנזין
1241,חשמלי
1242,2982 ליטר דיזל
1243,חשמלי
1244,3564 ליטר בנזין
1245,999 ליטר בנזין
1246,1999 ליטר בנזין
1247,1598 ליטר בנזין
1248,1199 ליטר בנזין
1249,1998 ליטר בנזין
1250,999 ליטר בנזין
1251,1598 ליטר דיזל
1252,2487 ליטר בנזין
1253,1580 ליטר בנזין
1254,1395 ליטר בנזין
1255,1580 ליטר בנזין
1256,1598 ליטר בנזין
1257,1998 ליטר בנזין
1258,2987 ליטר דיזל
1259,1998 ליטר בנזין
1260,חשמלי
1261,1999 ליטר בנזין
1262,2268 ליטר דיזל
1263,1197 ליטר בנזין
1264,1798 ליטר בנזין
1265,2157 ליטר דיזל
1266,1248 ליטר בנזין
1267,1248 ליטר בנזין
1268,1332 ליטר בנזין
1269,1498 ליטר בנזין
1270,1395 ליטר בנזין
1271,1591 ליטר בנזין
1272,1999 ליטר בנזין
1273,1798 ליטר בנזין
1274,2487 ליטר בנזין
1275,875 ליטר בנזין
1276,2487 ליטר בנזין
1277,1999 ליטר בנזין
1278,חשמלי
1279,1197 ליטר בנזין
1280,1598 ליטר בנזין
1281,1591 ליטר בנזין
1282,1798 ליטר בנזין
1283,1560 ליטר דיזל
1284,1498 ליטר בנזין
1285,1198 ליטר בנזין
1286,1199 ליטר בנזין
1287,1999 ליטר דיזל
1288,1598 ליטר בנזין
1289,1591 ליטר בנזין
1290,1968 ליטר דיזל
1291,1998 ליטר בנזין
1292,1399 ליטר בנזין
1293,2996 ליטר חשמל/בנזין
1294,1998 ליטר בנזין
1295,1498 ליטר בנזין
1296,1499 ליטר דיזל
1297,1995 ליטר בנזין
1298,2999 ליטר דיזל
1299,2487 ליטר בנזין
1300,1999 ליטר בנזין
1301,1898 ליטר דיזל
1302,1998 ליטר בנזין
1303,1461 ליטר דיזל
1304,1998 ליטר בנזין
1305,1461 ליטר דיזל
1306,1591 ליטר בנזין
1307,1395 ליטר בנזין
1308,1395 ליטר בנזין
1309,1998 ליטר בנזין
1310,1968 ליטר דיזל
1311,1373 ליטר בנזין
1312,1998 ליטר בנזין
1313,1998 ליטר בנזין
1314,1997 ליטר בנזין
1315,1248 ליטר בנזין
1316,1798 ליטר בנזין
1317,1499 ליטר חשמל/בנזין
1318,998 ליטר בנזין
1319,1362 ליטר בנזין
1320,1373 ליטר בנזין
1321,1395 ליטר בנזין
1322,1498 ליטר בנזין
1323,1329 ליטר בנזין
1324,1598 ליטר בנזין
1325,1798 ליטר בנזין
1326,1998 ליטר בנזין
1327,1248 ליטר בנזין
1328,6162 ליטר בנזין
1329,1969 ליטר בנזין
1330,1395 ליטר בנזין
1331,1598 ליטר בנזין
1332,1248 ליטר בנזין
1333,1798 ליטר בנזין
1334,1580 ליטר חשמל/בנזין
1335,1999 ליטר בנזין
1336,1798 ליטר בנזין
1337,2488 ליטר בנזין
1338,1798 ליטר בנזין
1339,2925 ליטר דיזל
1340,1498 ליטר בנזין
1341,1248 ליטר בנזין
1342,1999 ליטר בנזין
1343,1580 ליטר בנזין
1344,1591 ליטר בנזין
1345,1798 ליטר בנזין
1346,1362 ליטר בנזין
1347,1242 ליטר בנזין
1348,חשמלי
1349,1998 ליטר בנזין
1350,1598 ליטר בנזין
1351,1998 ליטר בנזין
1352,1462 ליטר בנזין
1353,1598 ליטר בנזין
1354,1461 ליטר דיזל
1355,1998 ליטר בנזין
1356,1598 ליטר בנזין
1357,1591 ליטר בנזין
1358,1998 ליטר בנזין
1359,1499 ליטר בנזין
1360,1498 ליטר בנזין
1361,1199 ליטר בנזין
1362,1595 ליטר בנזין
1363,חשמלי
1364,1998 ליטר בנזין
1365,1373 ליטר בנזין
1366,1998 ליטר בנזין
1367,1332 ליטר בנזין
1368,1580 ליטר חשמל/בנזין
1369,1998 ליטר בנזין
1370,1396 ליטר בנזין
1371,2925 ליטר דיזל
1372,חשמלי
1373,1798 ליטר בנזין
1374,1332 ליטר בנזין
1375,1798 ליטר בנזין
1376,1998 ליטר בנזין
1377,1598 ליטר דיזל
1378,1999 ליטר בנזין
1379,3497 ליטר בנזין
1380,1798 ליטר בנזין
1381,1498 ליטר בנזין
1382,1499 ליטר דיזל
1383,2755 ליטר דיזל
1384,998 ליטר בנזין
1385,1332 ליטר בנזין
1386,998 ליטר בנזין
1387,1395 ליטר בנזין
1388,1499 ליטר דיזל
1389,חשמלי
1390,1798 ליטר בנזין
1391,1395 ליטר בנזין
1392,חשמלי
1393,1580 ליטר בנזין
1394,1580 ליטר בנזין
1395,1499 ליטר בנזין
1396,2498 ליטר בנזין
1397,1991 ליטר בנזין
1398,2359 ליטר בנזין
1399,998 ליטר בנזין
1400,1586 ליטר בנזין
1401,1998 ליטר בנזין
1402,1591 ליטר בנזין
1403,1798 ליטר בנזין
1404,1991 ליטר בנזין
1405,1248 ליטר בנזין
1406,1991 ליטר דיזל
1407,1598 ליטר בנזין
1408,1998 ליטר בנזין
1409,1197 ליטר בנזין
1410,1968 ליטר דיזל
1411,1498 ליטר בנזין
1412,1498 ליטר בנזין
1413,1328 ליטר בנזין
1414,1248 ליטר בנזין
1415,1353 ליטר בנזין
1416,1197 ליטר בנזין
1417,1248 ליטר בנזין
1418,2499 ליטר דיזל
1419,1998 ליטר בנזין
1420,1998 ליטר חשמל/בנזין
1421,1248 ליטר בנזין
1422,999 ליטר בנזין
1423,1580 ליטר בנזין
1424,1560 ליטר דיזל
1425,1598 ליטר בנזין
1426,1998 ליטר חשמל/בנזין
1427,999 ליטר בנזין
1428,1368 ליטר בנזין
1429,1591 ליטר בנזין
1430,999 ליטר בנזין
1431,חשמלי
1432,1248 ליטר דיזל
1433,1598 ליטר בנזין
1434,1461 ליטר דיזל
1435,1968 ליטר דיזל
1436,1799 ליטר בנזין
1437,1789 ליטר בנזין
1438,1498 ליטר בנזין
1439,1998 ליטר בנזין
1440,1591 ליטר בנזין
1441,1197 ליטר בנזין
1442,1197 ליטר בנזין
1443,1395 ליטר בנזין
1444,1999 ליטר בנזין
1445,1499 ליטר בנזין
1446,1248 ליטר בנזין
1447,1591 ליטר בנזין
1448,1968 ליטר דיזל
1449,1498 ליטר בנזין
1450,1598 ליטר בנזין
1451,2384 ליטר בנזין
1452,1498 ליטר בנזין
1453,1395 ליטר בנזין
1454,1798 ליטר בנזין
1455,1399 ליטר בנזין
1456,1598 ליטר בנזין
1457,998 ליטר בנזין
1458,1600 ליטר בנזין
1459,1499 ליטר דיזל
1460,1591 ליטר בנזין
1461,1499 ליטר דיזל
1462,1498 ליטר בנזין
1463,1582 ליטר דיזל
1464,1395 ליטר חשמל/בנזין
1465,1995 ליטר בנזין
1466,1499 ליטר דיזל
1467,1248 ליטר בנזין
1468,1199 ליטר בנזין
1469,1197 ליטר בנזין
1470,1580 ליטר בנזין
1471,898 ליטר בנזין
1472,1499 ליטר בנזין
1473,3604 ליטר בנזין
1474,1997 ליטר דיזל
1475,1395 ליטר בנזין
1476,1498 ליטר בנזין
1477,1998 ליטר בנזין
1478,1998 ליטר חשמל/בנזין
1479,1248 ליטר בנזין
1480,2755 ליטר דיזל
1481,חשמלי
1482,1998 ליטר בנזין
1483,1499 ליטר בנזין
1484,1332 ליטר בנזין
1485,1390 ליטר בנזין
1486,1580 ליטר בנזין
1487,999 ליטר בנזין
1488,1997 ליטר בנזין
1489,1998 ליטר בנזין
1490,1999 ליטר בנזין
1491,1598 ליטר בנזין
1492,1798 ליטר בנזין
1493,1462 ליטר בנזין
1494,1999 ליטר בנזין
1495,חשמלי
1496,1998 ליטר בנזין
1497,1362 ליטר בנזין
1498,1591 ליטר בנזין
1499,1984 ליטר בנזין
1500,1197 ליטר בנזין
1501,חשמלי
1502,1968 ליטר דיזל
1503,1998 ליטר בנזין
1504,1995 ליטר בנזין
1505,1995 ליטר בנזין
1506,חשמלי
1507,1999 ליטר בנזין
1508,1498 ליטר בנזין
1509,1998 ליטר בנזין
1510,1999 ליטר בנזין
1511,996 ליטר בנזין
1512,1998 ליטר בנזין
1513,1560 ליטר דיזל
1514,2967 ליטר חשמל/דיזל
1515,1598 ליטר בנזין
1516,1498 ליטר בנזין
1517,1332 ליטר בנזין
1518,1591 ליטר בנזין
1519,999 ליטר בנזין
1520,3604 ליטר בנזין
1521,1998 ליטר בנזין
1522,1999 ליטר בנזין
1523,1362 ליטר בנזין
1524,998 ליטר בנזין
1525,1991 ליטר חשמל/בנזין
1526,999 ליטר בנזין
1527,1318 ליטר בנזין
1528,1332 ליטר בנזין
1529,1461 ליטר דיזל
1530,2925 ליטר דיזל
1531,1242 ליטר בנזין
1532,1197 ליטר בנזין
1533,1598 ליטר בנזין
1534,1490 ליטר בנזין
1535,1987 ליטר בנזין
1536,1498 ליטר בנזין
1537,1999 ליטר בנזין
1538,1199 ליטר בנזין
1539,1998 ליטר בנזין
1540,1999 ליטר בנזין
1541,1999 ליטר בנזין
1542,1991 ליטר בנזין
1543,1998 ליטר בנזין
1544,1199 ליטר בנזין
1545,2953 ליטר בנזין
1546,1497 ליטר בנזין
1547,3564 ליטר בנזין
1548,999 ליטר בנזין
1549,998 ליטר בנזין
1550,1591 ליטר בנזין
1551,1999 ליטר בנזין
1552,999 ליטר בנזין
1553,1598 ליטר בנזין
1554,1591 ליטר בנזין
1555,1798 ליטר בנזין
1556,1999 ליטר בנזין
1557,1995 ליטר דיזל
1558,1587 ליטר בנזין
1559,1999 ליטר בנזין
1560,1999 ליטר בנזין
1561,2488 ליטר בנזין
1562,1395 ליטר בנזין
1563,1998 ליטר בנזין
1564,1998 ליטר בנזין
1565,1591 ליטר בנזין
1566,1991 ליטר חשמל/בנזין
1567,1598 ליטר בנזין
1568,1496 ליטר בנזין
1569,1998 ליטר בנזין
1570,1499 ליטר דיזל
1571,1998 ליטר בנזין
1572,1332 ליטר בנזין
1573,999 ליטר בנזין
1574,1197 ליטר בנזין
1575,1591 ליטר בנזין
1576,1364 ליטר בנזין
1577,חשמלי
1578,1490 ליטר בנזין
1579,1598 ליטר בנזין
1580,6424 ליטר בנזין
1581,1999 ליטר בנזין
1582,1197 ליטר בנזין
1583,1580 ליטר בנזין
1584,1798 ליטר בנזין
1585,1969 ליטר בנזין
1586,1399 ליטר בנזין
1587,1499 ליטר בנזין
1588,998 ליטר בנזין
1589,1998 ליטר בנזין
1590,1997 ליטר בנזין
1591,1998 ליטר בנזין
1592,1197 ליטר בנזין
1593,1984 ליטר בנזין
1594,2442 ליטר דיזל
1595,1998 ליטר בנזין
1596,1199 ליטר בנזין
1597,1395 ליטר בנזין
1598,1149 ליטר בנזין
1599,1591 ליטר בנזין
1600,898 ליטר בנזין
1601,1490 ליטר בנזין
1602,1798 ליטר בנזין
1603,1248 ליטר בנזין
1604,1498 ליטר בנזין
1605,1490 ליטר בנזין
1606,1984 ליטר בנזין
1607,999 ליטר בנזין
1608,חשמלי
1609,1498 ליטר בנזין
1610,1984 ליטר בנזין
1611,998 ליטר בנזין
1612,1395 ליטר בנזין
1613,1498 ליטר בנזין
1614,1248 ליטר בנזין
1615,1999 ליטר בנזין
1616,1193 ליטר בנזין
1617,1998 ליטר בנזין
1618,1498 ליטר בנזין
1619,1498 ליטר בנזין
1620,1598 ליטר בנזין
1621,1798 ליטר בנזין
1622,999 ליטר בנזין
1623,1580 ליטר בנזין
1624,1498 ליטר בנזין
1625,1353 ליטר בנזין
1626,1248 ליטר בנזין
1627,3649 ליטר בנזין
1628,חשמלי
1629,1197 ליטר בנזין
1630,1197 ליטר בנזין
1631,1596 ליטר בנזין
1632,1499 ליטר דיזל
1633,1368 ליטר בנזין
1634,1248 ליטר בנזין
1635,1199 ליטר בנזין
1636,999 ליטר בנזין
1637,1969 ליטר בנזין
1638,1496 ליטר בנזין
1639,1999 ליטר בנזין
1640,1598 ליטר בנזין
1641,1199 ליטר בנזין
1642,1798 ליטר בנזין
1643,998 ליטר בנזין
1644,2499 ליטר דיזל
1645,1598 ליטר דיזל
1646,6424 ליטר בנזין
1647,1193 ליטר בנזין
1648,1991 ליטר בנזין
1649,1332 ליטר בנזין
1650,1591 ליטר בנזין
1651,1998 ליטר חשמל/בנזין
1652,1199 ליטר בנזין
1653,1798 ליטר בנזין
1654,1984 ליטר בנזין
1655,1998 ליטר בנזין
1656,1364 ליטר בנזין
1657,1999 ליטר בנזין
1658,2378 ליטר בנזין
1659,1998 ליטר בנזין
1660,1998 ליטר בנזין
1661,1999 ליטר בנזין
1662,1598 ליטר בנזין
1663,1591 ליטר בנזין
1664,1995 ליטר בנזין
1665,1368 ליטר בנזין
1666,1997 ליטר דיזל
1667,חשמלי
1668,1991 ליטר בנזין
1669,1998 ליטר חשמל/בנזין
1670,1591 ליטר בנזין
1671,2488 ליטר בנזין
1672,1995 ליטר בנזין
1673,1596 ליטר בנזין
1674,1248 ליטר בנזין
1675,1998 ליטר בנזין
1676,1998 ליטר בנזין
1677,1984 ליטר בנזין
1678,1496 ליטר בנזין
1679,1997 ליטר דיזל
1680,1999 ליטר בנזין
1681,1998 ליטר בנזין
1682,1490 ליטר בנזין
1683,1199 ליטר בנזין
1684,1600 ליטר בנזין
1685,1999 ליטר בנזין
1686,1197 ליטר בנזין
1687,1248 ליטר בנזין
1688,1999 ליטר בנזין
1689,1341 ליטר בנזין
1690,1399 ליטר בנזין
1691,1798 ליטר בנזין
1692,2488 ליטר בנזין
1693,1590 ליטר בנזין
1694,1999 ליטר בנזין
1695,1197 ליטר בנזין
1696,1499 ליטר דיזל
1697,1580 ליטר בנזין
1698,1586 ליטר בנזין
1699,1995 ליטר דיזל
1700,1998 ליטר בנזין
1701,1498 ליטר בנזין
1702,1197 ליטר בנזין
1703,1560 ליטר דיזל
1704,1998 ליטר בנזין
1705,1399 ליטר בנזין
1706,2755 ליטר דיזל
1707,1197 ליטר בנזין
1708,1197 ליטר בנזין
1709,3200 ליטר דיזל
1710,1998 ליטר בנזין
1711,1498 ליטר בנזין
1712,1395 ליטר בנזין
1713,1248 ליטר בנזין
1714,1798 ליטר בנזין
1715,1580 ליטר בנזין
1716,2261 ליטר בנזין
1717,1591 ליטר בנזין
1718,1998 ליטר בנזין
1719,1197 ליטר בנזין
1720,1461 ליטר דיזל
1721,1477 ליטר חשמל/בנזין
1722,1498 ליטר בנזין
1723,2755 ליטר דיזל
1724,1496 ליטר בנזין
1725,1987 ליטר בנזין
1726,1399 ליטר בנזין
1727,1591 ליטר בנזין
1728,1998 ליטר חשמל/בנזין
1729,1999 ליטר בנזין
1730,1193 ליטר בנזין
1731,2993 ליטר בנזין
1732,חשמלי
1733,1999 ליטר בנזין
1734,1598 ליטר בנזין
1735,1199 ליטר בנזין
1736,998 ליטר בנזין
1737,1580 ליטר בנזין
1738,1248 ליטר בנזין
1739,1798 ליטר בנזין
1740,1368 ליטר בנזין
1741,1999 ליטר בנזין
1742,1490 ליטר בנזין
1743,2157 ליטר דיזל
1744,3604 ליטר בנזין
1745,1598 ליטר בנזין
1746,1560 ליטר דיזל
1747,2498 ליטר בנזין
1748,1798 ליטר בנזין
1749,1984 ליטר בנזין
1750,1998 ליטר בנזין
1751,1497 ליטר בנזין
1752,998 ליטר בנזין
1753,2487 ליטר חשמל/בנזין
1754,1248 ליטר דיזל
1755,1999 ליטר בנזין
1756,1591 ליטר בנזין
1757,1395 ליטר בנזין
1758,1477 ליטר בנזין
1759,1496 ליטר בנזין
1760,1999 ליטר בנזין
1761,1598 ליטר בנזין
1762,998 ליטר בנזין
1763,1598 ליטר דיזל
1764,1998 ליטר בנזין
1765,1560 ליטר דיזל
1766,1461 ליטר דיזל
1767,1580 ליטר בנזין
1768,1580 ליטר בנזין
1769,2199 ליטר דיזל
1770,1596 ליטר בנזין
1771,1999 ליטר בנזין
1772,1499 ליטר דיזל
1773,1999 ליטר דיזל
1774,1598 ליטר בנזין
1775,1193 ליטר בנזין
1776,חשמלי
1777,1199 ליטר בנזין
1778,1995 ליטר בנזין
1779,998 ליטר בנזין
1780,1598 ליטר בנזין
1781,1197 ליטר בנזין
1782,1341 ליטר בנזין
1783,1998 ליטר בנזין
1784,1999 ליטר בנזין
1785,1498 ליטר בנזין
1786,1999 ליטר בנזין
1787,1998 ליטר בנזין
1788,1798 ליטר בנזין
1789,1197 ליטר בנזין
1790,2995 ליטר בנזין
1791,1499 ליטר דיזל
1792,3497 ליטר בנזין
1793,1193 ליטר בנזין
1794,1591 ליטר בנזין
1795,1395 ליטר בנזין
1796,1999 ליטר בנזין
1797,1461 ליטר דיזל
1798,1395 ליטר בנזין
1799,2494 ליטר בנזין
1800,2967 ליטר דיזל
1801,3604 ליטר בנזין
1802,1193 ליטר בנזין
1803,1591 ליטר בנזין
1804,1580 ליטר בנזין
1805,1798 ליטר בנזין
1806,1368 ליטר בנזין
1807,1248 ליטר בנזין
1808,1984 ליטר בנזין
1809,1580 ליטר בנזין
1810,2487 ליטר בנזין
1811,1499 ליטר בנזין
1812,3604 ליטר בנזין
1813,1969 ליטר בנזין
1814,1998 ליטר בנזין
1815,1248 ליטר בנזין
1816,1395 ליטר בנזין
1817,1395 ליטר בנזין
1818,1591 ליטר בנזין
1819,1580 ליטר בנזין
1820,1798 ליטר בנזין
1821,1499 ליטר בנזין
1822,1798 ליטר בנזין
1823,1248 ליטר בנזין
1824,1197 ליטר בנזין
1825,2755 ליטר דיזל
1826,1461 ליטר דיזל
1827,1364 ליטר בנזין
1828,2993 ליטר דיזל
1829,1197 ליטר בנזין
1830,1999 ליטר בנזין
1831,חשמלי
1832,1598 ליטר בנזין
1833,1999 ליטר בנזין
1834,3982 ליטר בנזין
1835,חשמלי
1836,6162 ליטר בנזין
1837,1332 ליטר בנזין
1838,1591 ליטר בנזין
1839,1598 ליטר בנזין
1840,1396 ליטר בנזין
1841,1499 ליטר בנזין
1842,999 ליטר בנזין
1843,1999 ליטר בנזין
1844,1991 ליטר בנזין
1845,1998 ליטר בנזין
1846,1197 ליטר בנזין
1847,1461 ליטר דיזל
1848,1798 ליטר בנזין
1849,1999 ליטר בנזין
1850,1353 ליטר בנזין
1851,3239 ליטר בנזין
1852,1199 ליטר בנזין
1853,1498 ליטר בנזין
1854,1490 ליטר בנזין
1855,2982 ליטר דיזל
1856,1339 ליטר בנזין
1857,1396 ליטר בנזין
1858,1586 ליטר בנזין
1859,1591 ליטר בנזין
1860,1580 ליטר בנזין
1861,1591 ליטר בנזין
1862,1498 ליטר בנזין
1863,1598 ליטר דיזל
1864,1199 ליטר בנזין
1865,1318 ליטר בנזין
1866,1600 ליטר בנזין
1867,3564 ליטר בנזין
1868,1591 ליטר בנזין
1869,1998 ליטר בנזין
1870,1998 ליטר בנזין
1871,1580 ליטר בנזין
1872,1598 ליטר בנזין
1873,1591 ליטר בנזין
1874,2998 ליטר חשמל/בנזין
1875,2199 ליטר דיזל
1876,1598 ליטר דיזל
1877,1984 ליטר בנזין
1878,1595 ליטר בנזין
1879,1998 ליטר בנזין
1880,1999 ליטר בנזין
1881,1332 ליטר בנזין
1882,1580 ליטר חשמל/בנזין
1883,998 ליטר בנזין
1884,1598 ליטר בנזין
1885,1591 ליטר בנזין
1886,1373 ליטר בנזין
1887,2261 ליטר בנזין
1888,1995 ליטר בנזין
